Block #, Trial #, Condition, Standard #, Note,SOA, SOA Jitter, Rating, RT
0,1,2,3,f4,800,786.9361347804262,4,35.12069729999996
0,1,3,4,a4,400,370.79354288954517,1,13.7897921
0,2,1,2,c4,1000,1054.422215043498,2,10.811574099999973
0,3,3,4,f4,333,400.24503816332106,4,2.659768300000053
0,4,2,3,e4,700,536.2073901154329,1,1.1485809000000131
0,5,1,2,e4,700,854.9044479260012,4,1.0997667999999976
0,6,2,3,e4,700,434.1649606728996,1,0.9046235999999794
0,7,2,3,e4,700,582.9362699848302,1,2.248626100000024
0,8,2,3,b4,500,521.3330817098707,3,2.9510986999999886
1,1,2,3,c4,697.0,793.3278659245617,4,1.220720999999969
1,2,2,3,e4,715.0,616.3566746765584,1,0.9976482999999803
1,3,2,3,g4,385.0,503.5402526583046,4,0.6972016000000281
1,4,2,3,c4,581.0,651.5836438031328,4,1.4026256999999873
1,5,1,2,d4,697.0,814.4251567996384,4,1.4640365999999858
1,6,3,4,g4,988.0,1051.9645620516278,4,2.446135599999991
1,7,2,3,e4,387.0,530.3348110158045,4,1.9836857999999893
1,8,1,2,d4,408.0,394.2735560291818,3,4.006448900000009
1,9,1,2,e4,988.0,957.9486861062474,4,18.597885099999985
1,10,2,3,e4,644.0,839.1551704148279,4,1.2587641000000076
1,11,2,3,c4,382.0,315.3812293838612,1,1.2951625000000035
1,12,1,2,b4,337.0,428.29698031841883,4,1.4656525000000329
1,13,2,3,d4,884.0,1011.2241486913207,3,9.501768099999993
1,14,3,4,e4,581.0,695.1451273640962,1,8.79899069999999
1,15,1,2,d4,609.0,757.7922459889459,4,1.7234975000000077
1,16,3,4,f4,706.0,429.57397585445085,1,1.0194377999999915
1,17,3,4,c4,775.0,672.529995049791,1,1.8316643000000568
1,18,1,2,f4,581.0,661.7288395798624,4,1.1259208000000172
1,19,2,3,a4,988.0,788.2303619841593,1,1.341754700000024
1,20,2,3,a4,941.0,756.1434899175542,1,2.834634000000051
1,21,1,2,g4,919.0,1236.9305979834248,4,1.3540616999999884
1,22,3,4,b4,408.0,519.8813860195622,4,0.99763310000003
1,23,1,2,f4,387.0,482.26881683923773,4,1.6378356999999824
1,24,2,3,d4,337.0,439.48090516165166,4,0.9475654999999961
1,25,1,2,a4,949.0,1281.235486943004,4,0.9103177000000642
1,26,1,2,g4,706.0,528.3395241440727,1,1.9636973000000353
1,27,3,4,b4,537.0,440.5180820537638,1,1.0092345000000478
1,28,2,3,b4,609.0,708.0203295375138,4,1.0035421999999699
1,29,2,3,a4,949.0,956.1980660783122,3,3.238158999999996
1,30,3,4,c4,387.0,329.85021784111063,1,3.407646899999918
1,31,3,4,d4,884.0,707.0124232722706,1,1.1980521000000408
1,32,3,4,a4,919.0,980.8772285135705,2,9.671435299999985
1,33,3,4,a4,715.0,764.4574734807597,4,3.2681841999999506
1,34,2,3,b4,919.0,888.5630674485863,2,4.766324300000065
1,35,1,2,g4,385.0,385.93552233777905,3,5.850664000000052
1,36,1,2,c4,775.0,592.0960681905615,1,3.237770899999987
1,37,1,2,e4,644.0,586.1981600208466,1,1.9502317999999832
1,38,2,3,d4,408.0,503.28028259886094,4,0.9616449000000102
1,39,3,4,b4,438.0,460.95925395504656,3,7.0732262999999875
1,40,3,4,g4,941.0,621.4370358060239,1,1.6077792999999474
1,41,1,2,f4,537.0,732.7619443900846,4,1.5636107999999922
1,42,1,2,a4,715.0,568.1040780399228,1,1.8245781999999053
1,43,3,4,g4,609.0,681.3664020282739,4,1.532310999999936
